id,player1_id,player2_id,winner_player_id,played_at,created_at,comment,player1_race,player2_race,is_ranked,game_type,mission_name,result_type,player1_roster_id,player2_roster_id,league_id
825,249,196,249,2026-04-13 23:51:39.395898,2026-04-14 03:51:41.041845,"[[match_meta:{""player1_score"":20,""player2_score"":17}]]",Зерг,Зерг,t,2к,Divide and Conquer,win,,,1
826,188,228,188,2026-04-14 05:12:33.638719,2026-04-14 09:12:35.284488,"[[match_meta:{""player1_score"":16,""player2_score"":9,""player1_roster_id"":""FGWVSU"",""player2_roster_id"":""XIY2U9""}]]",Терран,Протосс,t,2к,Gather the Resources,win,FGWVSU,XIY2U9,1
827,196,195,196,2026-04-14 10:14:09.601775,2026-04-14 14:14:11.089804,"[[match_meta:{""player1_score"":9,""player2_score"":5}]]",Зерг,Терран,t,2к,Hold Position,win,FBT00N,,1
828,249,188,249,2026-04-14 16:13:41.536661,2026-04-14 20:13:42.615364,"[[match_meta:{""player1_score"":18,""player2_score"":13,""player1_roster_id"":""Y2RZUF"",""player2_roster_id"":""FGWVSU""}]]",Зерг,Терран,t,2к,Hold Position,win,Y2RZUF,FGWVSU,1
829,193,255,193,2026-04-14 16:47:10.085302,2026-04-14 20:47:11.214222,"[[match_meta:{""player1_score"":6,""player2_score"":1}]]",Протосс,Терран,f,1к,Supply Drop,win,,,1
830,249,262,249,2026-04-14 21:08:28.66736,2026-04-15 01:08:30.280236,"[[match_meta:{""player1_score"":22,""player2_score"":17}]]",Зерг,Протосс,t,2к,Frontlines,win,,,1
831,196,256,196,2026-04-14 23:43:11.454855,2026-04-15 03:43:13.194912,"[[match_meta:{""player1_score"":22,""player2_score"":6,""player1_roster_id"":""WVILVS""}]]",Протосс,Зерг,f,2к,Divide and Conquer,win,WVILVS,,1
832,268,261,268,2026-04-15 00:45:28.886597,2026-04-15 04:45:29.749083,"[[match_meta:{""player1_score"":14,""player2_score"":5}]]",Зерг,Протосс,t,2к,Hold Position,win,,,1
833,269,270,269,2026-04-15 02:27:03.527628,2026-04-15 06:27:05.634106,"[[match_meta:{""player1_score"":15,""player2_score"":6}]] Starter box game with a couple extras. First game",Протосс,Терран,t,1к,Frontlines,win,,,1
834,196,214,196,2026-04-15 12:49:54.288495,2026-04-15 16:49:55.608373,"[[match_meta:{""player1_score"":20,""player2_score"":15,""player1_roster_id"":""1IP661"",""player2_roster_id"":""02YM01""}]]",Зерг,Протосс,t,2к,Hold Position,win,1IP661,02YM01,1
835,188,271,188,2026-04-16 15:08:03.263318,2026-04-16 19:08:05.66535,"[[match_meta:{""player1_score"":17,""player2_score"":6,""player1_roster_id"":""FGWVSU""}]]",Терран,Терран,t,2к,Hold Position,win,FGWVSU,,1
836,196,272,196,2026-04-16 22:11:23.193238,2026-04-17 02:11:24.930183,"[[match_meta:{""player1_score"":12,""player2_score"":3}]]",Протосс,Протосс,f,2к,Gather the Resources,win,,,1
